Detail of Gifts,Item Category,Name of Recipient,Affiliation,Date,Assessed Value,Retention Cost,Retained,Remarks
1358,17,1419,2,713,2500.0,0.0,65,221
1696,17,1311,2,757,85000.0,5625.0,65,221
2149,2,382,0,863,6500.0,0.0,65,221
1358,17,382,0,863,2500.0,0.0,65,221
1384,7,1607,2,883,2500.0,0.0,65,221
2461,2,460,7,889,5000.0,0.0,65,221
1508,11,377,2,786,15000.0,750.0,65,221
1561,17,734,2,786,7000.0,0.0,65,221
2979,7,734,2,786,3000.0,0.0,65,221
2233,17,734,2,786,2200.0,0.0,65,221
1523,7,734,2,786,3000.0,0.0,65,221
2885,17,734,2,832,51900.0,5625.0,65,221
2368,17,802,2,837,0.0,0.0,65,221
2852,17,803,2,837,18550.0,1283.0,65,221
1855,17,1996,0,841,750.0,0.0,65,221
2149,2,450,2,844,7500.0,0.0,65,221
1358,17,337,2,855,2500.0,0.0,65,221
1293,11,1943,7,901,3500.0,0.0,65,221
2887,17,785,2,917,97450.0,0.0,65,221
3143,17,785,2,917,97450.0,5625.0,65,221
2886,17,785,2,917,97450.0,5625.0,65,221
2857,7,785,2,917,56500.0,5625.0,65,221
2190,7,785,2,917,4500.0,0.0,65,221
1388,7,785,2,917,5500.0,0.0,65,221
2375,17,785,2,917,9000.0,0.0,65,221
2149,2,789,2,917,18500.0,1275.0,65,221
1511,11,1379,7,923,3500.0,0.0,65,221
1510,11,411,2,965,8500.0,0.0,65,221
358,7,1817,2,965,550.0,0.0,65,221
2283,17,377,2,1005,1200.0,0.0,7,134
1382,7,1301,2,1013,850.0,0.0,65,221
468,17,44,0,1022,5500.0,0.0,65,221
2565,17,44,0,1022,800.0,0.0,65,221
2557,17,800,0,1022,150.0,0.0,65,221
2876,17,800,0,1022,700.0,0.0,65,221
478,17,227,0,1066,9000.0,0.0,22,165
1390,7,1419,2,1220,3000.0,0.0,65,221
3170,17,1419,2,1220,1350.0,0.0,65,221
2149,2,1419,2,1230,4500.0,0.0,65,221
1377,7,1438,2,1230,600.0,0.0,65,221
2250,17,384,0,1137,3000.0,0.0,65,221
475,7,345,0,1137,800.0,0.0,65,221
1432,11,1419,2,1148,9500.0,0.0,65,221
2631,17,1919,7,1148,300.0,0.0,7,48
1389,7,1419,2,1154,1500.0,0.0,65,221
1388,7,1419,2,1154,3000.0,0.0,65,221
2991,17,251,7,1169,5300.0,0.0,65,221
1465,17,641,2,1177,4300.0,0.0,65,221
2246,17,322,2,1177,1000.0,0.0,65,221
3155,17,460,7,1195,14100.0,915.0,65,221
3187,2,460,7,1195,12500.0,3375.0,65,221
3157,17,460,7,1195,97450.0,5625.0,65,221
1500,17,1877,7,1199,4300.0,0.0,65,221
2290,17,238,7,1238,3500.0,0.0,65,221
2571,17,1012,6,1322,30000.0,3000.0,65,221
2001,17,1419,7,1251,5000.0,0.0,65,221
1478,17,1301,0,1283,13900.0,585.0,65,221
1498,6,460,7,1286,4000.0,0.0,65,221
1461,17,1419,2,1336,450.0,0.0,65,221
2235,17,785,2,1377,0.0,0.0,65,221
2235,17,785,2,1377,0.0,0.0,65,221
1842,17,159,7,1377,0.0,0.0,65,221
2253,17,785,2,1435,0.0,0.0,65,221
2162,17,785,2,1435,1500.0,0.0,65,221
2274,17,785,2,1340,2000.0,0.0,65,221
2571,17,113,7,1360,75000.0,5625.0,65,221
2164,3,785,2,1381,2000.0,0.0,65,221
2175,17,1419,2,1394,5600.0,0.0,65,221
1463,17,383,0,1400,97450.0,5625.0,65,221
2992,17,1100,0,1400,5000.0,0.0,65,221
1381,7,785,2,1406,1500.0,0.0,65,221
1362,3,1419,2,1413,2000.0,0.0,65,221
1377,7,1419,2,1413,1800.0,0.0,65,221
2571,17,1594,6,1429,30000.0,3000.0,65,221
1428,7,250,7,151,1500.0,0.0,65,221
2768,17,1301,0,225,5800.0,0.0,65,221
1370,7,785,2,125,22000.0,1800.0,65,221
353,17,785,2,125,15000.0,750.0,65,221
337,17,785,2,125,8500.0,0.0,65,221
2284,17,382,0,125,2000.0,0.0,65,221
1626,7,1419,2,129,2000.0,0.0,65,221
309,17,460,7,154,2500.0,0.0,65,221
2532,17,460,7,154,1600.0,0.0,65,221
1759,2,460,7,154,21000.0,1650.0,65,221
3233,17,254,7,154,97450.0,5625.0,65,221
378,17,460,7,154,4500.0,0.0,65,221
1618,2,785,2,167,15000.0,0.0,65,221
2253,17,785,2,167,0.0,0.0,65,221
3236,17,1420,2,167,0.0,0.0,7,20
3215,17,1420,2,167,97450.0,5625.0,65,221
2769,17,785,2,174,17000.0,0.0,65,221
2572,17,1944,7,174,0.0,5250.0,65,221
363,7,1105,2,174,22000.0,1800.0,65,221
3019,17,181,7,174,97450.0,5625.0,65,221
1377,7,1419,2,179,1000.0,0.0,65,221
3232,17,1886,2,179,35000.0,5625.0,65,221
467,17,250,7,186,1400.0,0.0,65,221
2161,17,785,2,195,1500.0,0.0,65,221
1380,7,383,0,200,1000.0,0.0,65,221
2572,17,1661,0,231,55000.0,5625.0,65,221
2303,17,451,0,320,1200.0,0.0,65,221
3178,2,785,2,326,28600.0,2790.0,65,221
308,17,785,2,326,0.0,0.0,65,221
1308,17,785,2,326,0.0,0.0,65,221
411,17,785,2,326,0.0,0.0,65,221
1291,17,785,2,326,0.0,0.0,65,221
393,17,785,2,326,0.0,0.0,65,221
2330,17,785,2,326,0.0,0.0,65,221
1161,17,1942,7,237,1200.0,0.0,65,221
1161,17,1369,0,237,1200.0,0.0,65,221
2536,17,337,2,247,2000.0,0.0,65,221
1161,17,346,2,247,1200.0,0.0,65,221
986,17,1419,2,250,2500.0,0.0,65,221
1161,17,1419,2,250,1200.0,0.0,65,221
1720,17,1419,2,250,1000.0,0.0,65,221
1455,17,425,7,262,0.0,0.0,65,221
371,7,460,7,262,1000.0,0.0,65,221
1161,17,451,0,262,1200.0,0.0,65,221
987,17,451,0,262,2500.0,0.0,65,221
1867,17,1511,0,273,97450.0,5625.0,65,221
2269,17,220,0,275,0.0,0.0,21,164
2206,17,460,7,377,0.0,0.0,65,221
1377,7,1419,2,429,3500.0,0.0,65,221
1161,17,707,7,439,1200.0,0.0,65,221
1161,17,1632,7,439,1200.0,0.0,65,221
1161,17,594,7,439,1200.0,0.0,65,221
2250,17,785,2,442,8500.0,0.0,65,221
2545,17,785,2,442,7000.0,0.0,65,221
2439,17,785,2,363,1000.0,0.0,65,221
2207,17,785,2,363,0.0,0.0,65,221
1759,17,785,2,363,0.0,0.0,65,221
1759,17,1419,2,368,0.0,0.0,65,221
1759,17,785,2,375,0.0,0.0,65,221
1759,17,785,2,375,0.0,0.0,65,221
1759,17,785,2,375,0.0,0.0,65,221
1759,17,1490,0,398,0.0,0.0,65,221
891,7,1609,2,97,1000.0,0.0,65,221
2388,7,1609,2,97,6500.0,0.0,65,221
461,17,1609,2,97,3000.0,0.0,65,221
1994,17,1946,7,9,500.0,0.0,65,221
3093,17,1946,7,9,650.0,0.0,65,221
1976,17,252,7,9,500.0,0.0,65,221
3147,10,787,2,12,9500.0,0.0,65,221
3173,6,787,2,12,5000.0,0.0,65,221
3144,17,787,2,12,7600.0,0.0,65,221
3086,17,787,2,12,24500.0,2175.0,65,221
1626,7,161,7,12,450.0,0.0,65,221
1961,17,458,7,22,2500.0,0.0,65,221
2422,17,787,2,22,22000.0,1800.0,65,221
2266,2,787,2,22,12000.0,300.0,65,221
1759,2,161,7,41,4000.0,0.0,65,221
1819,7,581,7,41,1200.0,0.0,65,221
1759,2,1609,2,46,5000.0,0.0,65,221
1527,7,1609,2,46,1500.0,0.0,65,221
